event_id,ann_date,stock_id,stock_name,industry,CAR_pre_30,CAR_pre_5,CAR_post_5,CAR_post_30,market_cap,avg_turnover_60d,turnover_ratio_60d,dividend_yield,momentum_pre,volume_anomaly_pre_5,log_market_cap,log_avg_turnover
00919_20250603,2025-06-03,2385,群光,電子零組件業,0.051100,-0.005214,-0.125036,-0.305378,127308906310.000000,697812611.816667,0.005657,5.970000,-0.092063,0.986798,25.569882,20.363461
00919_20250603,2025-06-03,2439,美律,電子工業,-0.012384,-0.010895,-0.145266,-0.123706,30813232936.000000,363545526.866667,0.012303,5.890000,0.056872,0.695501,24.151210,19.711415
00919_20250603,2025-06-03,2458,義隆,電子工業,0.035326,-0.003968,-0.107029,-0.167905,40034026528.000000,285286301.250000,0.007350,5.840000,-0.202703,1.147745,24.412996,19.469004
00919_20250603,2025-06-03,2474,可成,其他電子業,-0.101511,-0.000449,-0.055451,-0.083385,143897000382.000000,868596977.200000,0.006052,7.330000,0.081013,1.641422,25.692364,20.582390
00919_20250603,2025-06-03,2520,冠德,建材營造,0.030815,0.014439,-0.128076,-0.134518,30811574570.000000,170541608.150000,0.005721,7.360000,0.015464,0.492942,24.151156,18.954490
00919_20250603,2025-06-03,2609,陽明,航運業,0.037073,-0.020409,-0.146864,-0.305249,276225447757.000000,3776387505.900000,0.013990,9.480000,-0.016620,1.075446,26.344483,22.052034
00919_20250603,2025-06-03,2881,富邦金,金融保險,-0.036973,0.050513,0.012987,-0.074335,1064624811277.399902,2019794838.600000,0.001895,5.200000,-0.114572,0.764377,27.693644,21.426262
00919_20250603,2025-06-03,2882,國泰金,金融保險,0.091368,-0.000414,0.033282,-0.088141,886020291731.199951,2721436596.466667,0.003112,5.790000,-0.172043,1.199238,27.510006,21.724426
00919_20250603,2025-06-03,3211,順達,電腦及週邊設備業,0.205779,0.062386,-0.163716,-0.007661,30822376242.000000,1609740592.366667,0.056308,6.190000,-0.184896,0.485361,24.151507,21.199339
00919_20250603,2025-06-03,4763,材料*-KY,化學生技醫療,-0.042163,0.010632,0.005389,-0.139965,84868784286.000000,2197534513.450000,0.024626,5.550000,-0.045402,0.760417,25.164372,21.510602
00919_20250603,2025-06-03,6412,群電,電子零組件業,0.144017,0.042289,-0.150892,-0.172101,50496909876.000000,130431461.483333,0.002837,4.760000,-0.220930,0.489811,24.645178,18.686358
